reference_group_id,document_id,role
RG-entry_year=2005,WARG0846,member
RG-entry_year=2005,WARG0847,member
RG-entry_year=2005,WARG0848,member
RG-entry_year=2005,WARG0849,member
RG-entry_year=2005,WARG0850,member
RG-entry_year=2005,WARG0851,member
RG-entry_year=2005,WARG0852,member
RG-entry_year=2005,WARG0853,member
RG-entry_year=2005,WARG0854,member
RG-entry_year=2005,WARG0879,member
RG-entry_year=2005,WARG0880,member
RG-entry_year=2005,WARG0881,member
RG-entry_year=2005,WARG0882,member
RG-entry_year=2005,WARG0883,member
RG-entry_year=2005,WARG0892,member
RG-entry_year=2005,WARG0893,member
RG-entry_year=2005,WARG0894,member
RG-entry_year=2005,WARG0895,member
RG-entry_year=2005,WARG0896,member
RG-entry_year=2005,WARG0910,member
RG-entry_year=2005,WARG0911,member
RG-entry_year=2005,WARG0912,member
RG-entry_year=2005,WARG0913,member
RG-entry_year=2005,WARG0914,member
RG-entry_year=2005,WARG0915,member
RG-entry_year=2005,WARG0916,member
RG-entry_year=2005,WARG0917,member
RG-entry_year=2005,WARG0918,member
RG-entry_year=2005,WARG0919,member
RG-entry_year=2005,WARG0920,member
RG-entry_year=2005,WARG0921,member
RG-entry_year=2005,WARG0922,member
RG-entry_year=2005,WARG0923,member
RG-entry_year=2005,WARG0924,member
RG-entry_year=2005,WARG0928,member
RG-entry_year=2005,WARG0977,member
RG-entry_year=2005,WARG0978,member
RG-entry_year=2005,WARG0999,member
RG-entry_year=2005,WARG1000,member
RG-entry_year=2005,WARG1001,member
RG-entry_year=2005,WARG1002,member
RG-entry_year=2005,WARG1003,member
RG-entry_year=2005,WARG1010,member
RG-entry_year=2005,WARG1011,member
RG-entry_year=2005,WARG1012,member
RG-entry_year=2005,WARG1013,member
RG-entry_year=2005,WARG1014,member
RG-entry_year=2005,WARG1015,member
RG-entry_year=2005,WARG1016,member
RG-entry_year=2005,WARG1030,member
RG-entry_year=2005,WARG1031,member
RG-entry_year=2005,WARG1032,member
RG-entry_year=2005,WARG1033,member
RG-entry_year=2005,WARG1034,member
RG-entry_year=2005,WARG1035,member
RG-entry_year=2005,WARG1036,member
RG-entry_year=2005,WARG1046,member
